fixed,fixed_value,variable,in_a,agg,model,theta
[name],"[""Alex J. Smola""]","[year, pubcount]",pubkey,count,const,0.99975463046955
[name],"[""Alex Rogers""]","[year, pubcount]",pubkey,count,const,0.997664179422693
[name],"[""Alexander G. Gray""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Alexander J. Smola""]","[year, pubcount]",pubkey,count,const,0.999700366589378
[name],"[""Alexandros Labrinidis""]","[year, pubcount]",pubkey,count,const,0.995223107459753
[name],"[""Alfons Kemper""]","[year, pubcount]",pubkey,count,const,0.998495881717416
[name],"[""Alin Deutsch""]","[year, pubcount]",pubkey,count,const,0.996196835547539
[name],"[""Alin Dobra""]","[year, pubcount]",pubkey,count,const,0.85711248909197
[name],"[""Alkis Simitsis""]","[year, pubcount]",pubkey,count,const,0.999223748623793
[name],"[""Alon Y. Halevy""]","[year, pubcount]",pubkey,count,const,0.999954836798788
[name],"[""Ambuj Tewari""]","[year, pubcount]",pubkey,count,const,0.993347785752577
[name],"[""Amir Globerson""]","[year, pubcount]",pubkey,count,const,0.987526281801654
[name],"[""Amos J. Storkey""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Amr El Abbadi""]","[year, pubcount]",pubkey,count,const,0.999902175028874
[name],"[""AnHai Doan""]","[year, pubcount]",pubkey,count,const,0.995466194473751
[name],"[""Anastasia Ailamaki""]","[year, pubcount]",pubkey,count,const,0.988728376422355
[name],"[""Anastasios Kementsietsidis""]","[year, pubcount]",pubkey,count,const,0.996196835547539
[name],"[""Anastassia Ailamaki""]","[year, pubcount]",pubkey,count,const,0.99975463046955
[name],"[""Andrew G. Barto""]","[year, pubcount]",pubkey,count,const,0.998204694119404
[name],"[""Andrew McCallum""]","[year, pubcount]",pubkey,count,const,0.870258110472772
[name],"[""Andrew Tomkins""]","[year, pubcount]",pubkey,count,const,0.85711248909197
[name],"[""Andrew W. Moore""]","[year, pubcount]",pubkey,count,const,0.981047515705364
[name],"[""Andrew Y. Ng""]","[year, pubcount]",pubkey,count,const,0.999778578845567
[name],"[""Andrey Balmin""]","[year, pubcount]",pubkey,count,const,0.958360583945661
[name],"[""Anish Das Sarma""]","[year, pubcount]",pubkey,count,const,0.990926897805081
[name],"[""Anthony K. H. Tung""]","[year, pubcount]",pubkey,count,const,0.999722647905379
[name],"[""Antonios Deligiannakis""]","[year, pubcount]",pubkey,count,const,0.93435754562155
[name],"[""Aoying Zhou""]","[year, pubcount]",pubkey,count,const,0.779777408475716
[name],"[""Ariel D. Procaccia""]","[year, pubcount]",pubkey,count,const,0.999223748623793
[name],"[""Ariel Felner""]","[year, pubcount]",pubkey,count,const,0.999978556039791
[name],"[""Aristides Gionis""]","[year, pubcount]",pubkey,count,const,0.973878525763091
[name],"[""Arthur Gretton""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Arvind Arasu""]","[year, pubcount]",pubkey,count,const,0.981047515705364
[name],"[""Ashish Sabharwal""]","[year, pubcount]",pubkey,count,const,0.995870034568339
[name],"[""Ashraf Aboulnaga""]","[year, pubcount]",pubkey,count,const,0.98293387232403
[name],"[""Ashutosh Saxena""]","[year, pubcount]",pubkey,count,const,0.99975463046955
[name],"[""Ashwin Machanavajjhala""]","[year, pubcount]",pubkey,count,const,0.936368672804683
[name],"[""Badrish Chandramouli""]","[year, pubcount]",pubkey,count,const,0.914033050101054
[name],"[""Baihua Zheng""]","[year, pubcount]",pubkey,count,const,0.993347785752577
[name],"[""Bart Selman""]","[year, pubcount]",pubkey,count,const,0.999084644992389
[name],"[""Bee-Chung Chen""]","[year, pubcount]",pubkey,count,const,0.995870034568339
[name],"[""Ben Kao""]","[year, pubcount]",pubkey,count,const,0.935532206431391
[name],"[""Beng Chin Ooi""]","[year, pubcount]",pubkey,count,const,0.999999702254542
[name],"[""Benny Kimelfeld""]","[year, pubcount]",pubkey,count,const,0.998495881717416
[name],"[""Bernhard Sch+\\xa6lkopf""]","[year, pubcount]",pubkey,count,const,0.999916758850712
[name],"[""Bill Howe""]","[year, pubcount]",pubkey,count,const,0.93435754562155
[name],"[""Bin Cui""]","[year, pubcount]",pubkey,count,const,0.914033050101054
[name],"[""Bing Liu 0001""]","[year, pubcount]",pubkey,count,const,0.914033050101054
[name],"[""Bishwaranjan Bhattacharjee""]","[year, pubcount]",pubkey,count,const,0.962565773247296
[name],"[""Bogdan Alexe""]","[year, pubcount]",pubkey,count,const,0.84914503608461
[name],"[""Boi Faltings""]","[year, pubcount]",pubkey,count,const,0.997664179422693
[name],"[""Bolin Ding""]","[year, pubcount]",pubkey,count,const,0.966231031814344
[name],"[""Bugra Gedik""]","[year, pubcount]",pubkey,count,const,0.997664179422693
[name],"[""C+\\xacsar A. Galindo-Legaria""]","[year, pubcount]",pubkey,count,const,0.990926897805081
[name],"[""Calisto Zuzarte""]","[year, pubcount]",pubkey,count,const,0.976884712247367
[name],"[""Carla P. Gomes""]","[year, pubcount]",pubkey,count,const,0.995223107459753
[name],"[""Carlo Curino""]","[year, pubcount]",pubkey,count,const,0.976884712247367
[name],"[""Carlo Zaniolo""]","[year, pubcount]",pubkey,count,const,0.930023896251933
[name],"[""Carlos Guestrin""]","[year, pubcount]",pubkey,count,const,0.947346982656289
[name],"[""Carlos Ordonez""]","[year, pubcount]",pubkey,count,const,0.982175450874206
[name],"[""Carsten Lutz""]","[year, pubcount]",pubkey,count,const,0.993347785752577
