fixed,fixed_value,variable,in_a,agg,model,theta
"[name, year]","[""Gerhard Weikum"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Giuseppe De Giacomo"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Giuseppe De Giacomo"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Giuseppe De Giacomo"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Giuseppe De Giacomo"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Glenn Fung"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Glenn Fung"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Goetz Graefe"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Goetz Graefe"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Graham Cormode"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Graham Cormode"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Guido Moerkotte"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Guoliang Li"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Guoliang Li"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Gustavo Alonso"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""H. V. Jagadish"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Haixun Wang"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Haixun Wang"", 2007.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Haixun Wang"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Haixun Wang"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Haixun Wang"", 2013.0]",[pubcount],pubkey,count,linear,0.785714285714286
"[name, year]","[""Haixun Wang"", 2013.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Hal Daum+\\xac III"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Han Liu"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Han Liu"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Hanan Samet"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Hang Li"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Hans-Arno Jacobsen"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Hector Garcia-Molina"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Hector Geffner"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Hector J. Levesque"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Heikki Mannila"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Heng Huang"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Heng Huang"", 2013.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Henry A. Kautz"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Henry A. Kautz"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Huan Liu"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Huan Liu"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Hui Xiong"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ian Davidson"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ian Davidson"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ian Davidson"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ihab F. Ilyas"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ihab F. Ilyas"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Inderjit S. Dhillon"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Inderjit S. Dhillon"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Inderjit S. Dhillon"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ioana Manolescu"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ioana Manolescu"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ioana Manolescu"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ioana Manolescu"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ion Stoica"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""J+\\xacr+\\xa6me Lang"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""James T. Kwok"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jan Peters"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jan Peters"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jan Peters"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jayant Madhavan"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jayant R. Haritsa"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jayavel Shanmugasundaram"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jayavel Shanmugasundaram"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jean-Philippe Vert"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jeff G. Schneider"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jeffrey F. Naughton"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jeffrey F. Naughton"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jeffrey F. Naughton"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jeffrey F. Naughton"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jeffrey S. Rosenschein"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jeffrey Xu Yu"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jeffrey Xu Yu"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jeffrey Xu Yu"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jeffrey Xu Yu"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jeffrey Xu Yu"", 2009.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Jeffrey Xu Yu"", 2013.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Jennifer Widom"", 2004.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Jennifer Widom"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jennifer Widom"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jens Dittrich"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ji-Rong Wen"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ji-Rong Wen"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jian Pei"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jian Pei"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jian Pei"", 2008.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Jianyong Wang"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jiawei Han"", 2004.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Jiawei Han"", 2005.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Jiawei Han"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jiawei Han"", 2007.0]",[pubcount],pubkey,count,const,0.896432373341911
"[name, year]","[""Jiawei Han"", 2008.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Jiawei Han"", 2009.0]",[pubcount],pubkey,count,const,0.818730753077982
"[name, year]","[""Jiawei Han"", 2010.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Jiawei Han"", 2011.0]",[pubcount],pubkey,count,const,0.881014842513785
"[name, year]","[""Jiawei Han"", 2012.0]",[pubcount],pubkey,count,const,0.818730753077982
"[name, year]","[""Jie Tang"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jieping Ye"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jieping Ye"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jieping Ye"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jieping Ye"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jieping Ye"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jignesh M. Patel"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jignesh M. Patel"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jignesh M. Patel"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jignesh M. Patel"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jimeng Sun"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Johannes Gehrke"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""John D. Lafferty"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""John D. Lafferty"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""John D. Lafferty"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""John Langford"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""John Langford"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jonathan Goldstein"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jonathan Goldstein"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Joseph M. Hellerstein"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Joseph M. Hellerstein"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Joshua B. Tenenbaum"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Juliana Freire"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jun Liu"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jun Liu"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jun Yang 0001"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jun Zhu"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Jure Leskovec"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Justin J. Levandoski"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""K. Sel+\\xbauk Candan"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""K. Sel+\\xbauk Candan"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kai Yu"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kai Yu"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kai Yu"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Karl Aberer"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kaushik Chakrabarti"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ke Wang"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ke Yi"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kenji Fukumizu"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kenji Fukumizu"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kenji Fukumizu"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kenneth D. Forbus"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kenneth Salem"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kenneth Salem"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kian-Lee Tan"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kian-Lee Tan"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kian-Lee Tan"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kian-Lee Tan"", 2008.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Kian-Lee Tan"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kilian Q. Weinberger"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kilian Q. Weinberger"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Klaus-Robert M++ller"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Klaus-Robert M++ller"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Koby Crammer"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Koby Crammer"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Kyu-Young Whang"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Laks V. S. Lakshmanan"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Laks V. S. Lakshmanan"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Laks V. S. Lakshmanan"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Laura M. Haas"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Lawrence Carin"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Lawrence Carin"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Lawrence Carin"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Lawrence Carin"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Le Song"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Le Song"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Lei Chen 0002"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Lei Chen 0002"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Lei Li"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Lin Qiao"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ling Liu"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ling Liu"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Lirong Xia"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Lirong Xia"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Lise Getoor"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Lizhu Zhou"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""M. Tamer +\\xfbzsu"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""M. Tamer +\\xfbzsu"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Magdalena Balazinska"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Makoto Yokoo"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Mal+\\xa6 Castellanos"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Maneesh Sahani"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Manuela M. Veloso"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Manuela M. Veloso"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Marianne Winslett"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Marios Hadjieleftheriou"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Martin Ester"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Martin J. Wainwright"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Martin J. Wainwright"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Martin L. Kersten"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Martin L. Kersten"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Martin L. Kersten"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Martin Theobald"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Martin Zinkevich"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Martin Zinkevich"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Masashi Sugiyama"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Masashi Sugiyama"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Massimiliano Pontil"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Matthias Renz"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Maurice van Keulen"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Mauricio A. Hern+\\xedndez"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Maurizio Lenzerini"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Mausam"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Max Welling"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Mehryar Mohri"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Mehryar Mohri"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Mehryar Mohri"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael H. Bowling"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael H. Bowling"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael I. Jordan"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael I. Jordan"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael I. Jordan"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael I. Jordan"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael I. Jordan"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael I. Jordan"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael J. Carey"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael J. Franklin"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael J. Franklin"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael L. Littman"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael L. Littman"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael L. Littman"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Michael R. Lyu"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Milind Tambe"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Milind Tambe"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Milind Tambe"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Min Wang"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ming Zhou"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Minos N. Garofalakis"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Mirek Riedewald"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Mirek Riedewald"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Mohamed F. Mokbel"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Mohamed F. Mokbel"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Mong-Li Lee"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Mong-Li Lee"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nan Zhang 0004"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Naren Ramakrishnan"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nathan R. Sturtevant"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nathan R. Sturtevant"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Neil D. Lawrence"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Neil D. Lawrence"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Neoklis Polyzotis"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nicholas R. Jennings"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nicholas R. Jennings"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nick Koudas"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nick Koudas"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nick Koudas"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nick Koudas"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nick Koudas"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nick Koudas"", 2010.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Nikos Mamoulis"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nikos Mamoulis"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nikos Mamoulis"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nikos Mamoulis"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nikos Mamoulis"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nilesh N. Dalvi"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nina Narodytska"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nitin Gupta 0003"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Nitin Gupta 0003"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ohad Shamir"", 2011.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Olga Papaemmanouil"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Olivier Chapelle"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Omar Benjelloun"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Padhraic Smyth"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Padhraic Smyth"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Panos K. Chrysanthis"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Panos K. Chrysanthis"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Panos K. Chrysanthis"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Paolo Papotti"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Pascal Van Hentenryck"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Pedro Domingos"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Pedro Domingos"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Peer Kr+\\xa6ger"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Peer Kr+\\xa6ger"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Per-+\\xe0ke Larson"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Per-+\\xe0ke Larson"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Peter A. Boncz"", 2013.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Peter J. Haas"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Peter Stone"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Peter Stone"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Peter Stone"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Philip A. Bernstein"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Philip A. Bernstein"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Philip S. Yu"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Philip S. Yu"", 2007.0]",[pubcount],pubkey,count,const,0.896432373341911
"[name, year]","[""Philip S. Yu"", 2009.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Philip S. Yu"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Phokion G. Kolaitis"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Piotr Faliszewski"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Prasad Tadepalli"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Prasad Tadepalli"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Qiang Yang 0001"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Qiang Yang 0001"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Qiang Yang 0001"", 2008.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Qiang Yang 0001"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Qiang Yang 0001"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Qiang Yang 0001"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Qiang Yang 0001"", 2012.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Qiong Luo"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Quoc V. Le"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""R+\\xacmi Munos"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""R+\\xacmi Munos"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""R+\\xacmi Munos"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Raghav Kaushik"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Raghav Kaushik"", 2007.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Raghav Kaushik"", 2010.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Raghav Kaushik"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Raghu Ramakrishnan"", 2004.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Raghu Ramakrishnan"", 2006.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Raghu Ramakrishnan"", 2007.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Raghu Ramakrishnan"", 2008.0]",[pubcount],pubkey,count,const,0.778800783071405
"[name, year]","[""Rainer Gemulla"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Rajeev Motwani"", 2006.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Rajeev Rastogi"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Rajeev Rastogi"", 2011.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Rakesh Agrawal"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ralf Schenkel"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ravi Kumar"", 2005.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ravi Kumar"", 2008.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ravi Kumar"", 2009.0]",[pubcount],pubkey,count,const,1
"[name, year]","[""Ravi Kumar"", 2011.0]",[pubcount],pubkey,count,const,1
