fixed,variable,in_a,agg,model,theta,lambda
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[primary_type],"[date, block]",id,count,const,0.75,1
[block],"[date, primary_type]",id,count,const,0.75,0.830446213130695
[date],"[block, primary_type]",id,count,const,0.75,0.989041095890411
"[date, primary_type]",[block],id,count,const,0.75,0.839912280701754
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[description],"[date, block]",id,count,const,0.75,0.905844155844156
[block],"[date, description]",id,count,const,0.75,0.831598660280189
[date],"[block, description]",id,count,const,0.75,0.994520547945206
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[location_description],"[date, block]",id,count,const,0.75,0.906976744186046
[block],"[date, location_description]",id,count,const,0.75,0.829978031476213
[date],"[block, location_description]",id,count,const,0.75,0.991780821917808
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[arrest],"[date, block]",id,count,const,0.75,1
[block],"[date, arrest]",id,count,const,0.75,0.826952857708791
[date],"[block, arrest]",id,count,const,0.75,0.989041095890411
"[date, arrest]",[block],id,count,const,0.75,0.991780821917808
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[domestic],"[date, block]",id,count,const,0.75,1
[block],"[date, domestic]",id,count,const,0.75,0.827096913602478
[date],"[block, domestic]",id,count,const,0.75,0.986301369863014
"[date, domestic]",[block],id,count,const,0.75,0.993150684931507
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[beat],"[date, block]",id,count,const,0.75,0.996350364963504
[block],"[date, beat]",id,count,const,0.75,0.825944466452984
[date],"[block, beat]",id,count,const,0.75,0.986301369863014
"[block, beat]",[date],id,count,const,0.75,0.818006580477916
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[district],"[date, block]",id,count,const,0.75,0.956521739130435
[block],"[date, district]",id,count,const,0.75,0.825908452479562
[date],"[block, district]",id,count,const,0.75,0.986301369863014
"[block, district]",[date],id,count,const,0.75,0.82348774613968
"[date, district]",[block],id,count,const,0.75,0.994770916334661
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[ward],"[date, block]",id,count,const,0.75,0.96078431372549
[block],"[date, ward]",id,count,const,0.75,0.825980480426405
[date],"[block, ward]",id,count,const,0.75,0.986301369863014
"[block, ward]",[date],id,count,const,0.75,0.816215109533884
"[date, ward]",[block],id,count,const,0.75,0.989639293937068
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[community_area],"[date, block]",id,count,const,0.75,0.974358974358974
[block],"[date, community_area]",id,count,const,0.75,0.825980480426405
[date],"[block, community_area]",id,count,const,0.75,0.986301369863014
"[block, community_area]",[date],id,count,const,0.75,0.819246185219042
"[date, community_area]",[block],id,count,const,0.75,0.905922178409345
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[fbi_code],"[date, block]",id,count,const,0.75,1
[block],"[date, fbi_code]",id,count,const,0.75,0.83055425505096
[date],"[block, fbi_code]",id,count,const,0.75,0.989041095890411
"[date, fbi_code]",[block],id,count,const,0.75,0.903153745072273
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[block],"[date, x_coordinate]",id,count,const,0.75,0.829221738034357
[date],"[block, x_coordinate]",id,count,const,0.75,0.991780821917808
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[block],"[date, y_coordinate]",id,count,const,0.75,0.829257752007779
[date],"[block, y_coordinate]",id,count,const,0.75,0.991780821917808
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[year],"[date, block]",id,count,const,0.75,1
[block],"[date, year]",id,count,const,0.75,0.825908452479562
[date],"[block, year]",id,count,const,0.75,0.986301369863014
"[block, year]",[date],id,count,const,0.75,0.825908452479562
"[date, year]",[block],id,count,const,0.75,0.986301369863014
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[updated_on],"[date, block]",id,count,const,0.75,0.99203187250996
[block],"[date, updated_on]",id,count,const,0.75,0.82799726293802
[date],"[block, updated_on]",id,count,const,0.75,0.991780821917808
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[updated_on],[block],id,count,const,0.75,0.972111553784861
[block],"[date, latitude]",id,count,const,0.75,0.829725933662261
[date],"[block, latitude]",id,count,const,0.75,0.991780821917808
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[block],"[date, longitude]",id,count,const,0.75,0.829725933662261
[date],"[block, longitude]",id,count,const,0.75,0.991780821917808
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
[block],"[date, location]",id,count,const,0.75,0.829725933662261
[date],"[block, location]",id,count,const,0.75,0.991780821917808
[block],[date],id,count,const,0.75,0.825908452479562
[date],[block],id,count,const,0.75,0.986301369863014
